input	output	match_kind	rule_code	source	review_status
म्	म	exact	3(ङ)-अजन्त-1	Notices-3(ङ)-अजन्त-1	reviewed
तँ्	तँ	exact	3(ङ)-अजन्त-1	Notices-3(ङ)-अजन्त-1	reviewed
र्	र	exact	3(ङ)-अजन्त-1	Notices-3(ङ)-अजन्त-1	reviewed
न्	न	exact	3(ङ)-अजन्त-1	Notices-3(ङ)-अजन्त-1	reviewed
त्	त	exact	3(ङ)-अजन्त-1	Notices-3(ङ)-अजन्त-1	reviewed
बाहिर्	बाहिर	exact	3(ङ)-अजन्त-2	Notices-3(ङ)-अजन्त-2	reviewed
भित्र्	भित्र	exact	3(ङ)-अजन्त-2	Notices-3(ङ)-अजन्त-2	reviewed
आज्	आज	exact	3(ङ)-अजन्त-2	Notices-3(ङ)-अजन्त-2	reviewed
तिर्	तिर	exact	3(ङ)-अजन्त-2	Notices-3(ङ)-अजन्त-2	reviewed
जब्	जब	exact	3(ङ)-अजन्त-2	Notices-3(ङ)-अजन्त-2	reviewed
तब्	तब	exact	3(ङ)-अजन्त-2	Notices-3(ङ)-अजन्त-2	reviewed
निर्	निर	exact	3(ङ)-अजन्त-2	Notices-3(ङ)-अजन्त-2	reviewed
भन्	भन	exact	3(ङ)-अजन्त-3	Notices-3(ङ)-अजन्त-3	reviewed
पढ्	पढ	exact	3(ङ)-अजन्त-3	Notices-3(ङ)-अजन्त-3	reviewed
गर्	गर	exact	3(ङ)-अजन्त-3	Notices-3(ङ)-अजन्त-3	reviewed
हेर्	हेर	exact	3(ङ)-अजन्त-3	Notices-3(ङ)-अजन्त-3	reviewed
बुझ्	बुझ	exact	3(ङ)-अजन्त-3	Notices-3(ङ)-अजन्त-3	reviewed
लुक्	लुक	exact	3(ङ)-अजन्त-3	Notices-3(ङ)-अजन्त-3	reviewed
लेख्	लेख	exact	3(ङ)-अजन्त-3	Notices-3(ङ)-अजन्त-3	reviewed
जान्नँ्	जान्नँ	exact	3(ङ)-अजन्त-4	Notices-3(ङ)-अजन्त-4	reviewed
गर्दैन्	गर्दैन	exact	3(ङ)-अजन्त-4	Notices-3(ङ)-अजन्त-4	reviewed
भन्दैन्	भन्दैन	exact	3(ङ)-अजन्त-4	Notices-3(ङ)-अजन्त-4	reviewed
लेखिन्	लेखिन	exact	3(ङ)-अजन्त-4	Notices-3(ङ)-अजन्त-4	reviewed
भनेन्	भनेन	exact	3(ङ)-अजन्त-4	Notices-3(ङ)-अजन्त-4	reviewed
गर्न्	गर्न	exact	3(ङ)-अजन्त-6	Notices-3(ङ)-अजन्त-6	reviewed
हेर्न्	हेर्न	exact	3(ङ)-अजन्त-6	Notices-3(ङ)-अजन्त-6	reviewed
लेख्न्	लेख्न	exact	3(ङ)-अजन्त-6	Notices-3(ङ)-अजन्त-6	reviewed
पढ्न्	पढ्न	exact	3(ङ)-अजन्त-6	Notices-3(ङ)-अजन्त-6	reviewed
जान्	जान	exact	3(ङ)-अजन्त-6	Notices-3(ङ)-अजन्त-6	reviewed
टिलिक्क्	टिलिक्क	exact	3(ङ)-अजन्त-7	Notices-3(ङ)-अजन्त-7	reviewed
टुप्लुक्क्	टुप्लुक्क	exact	3(ङ)-अजन्त-7	Notices-3(ङ)-अजन्त-7	reviewed
स्वाट्ट्	स्वाट्ट	exact	3(ङ)-अजन्त-7	Notices-3(ङ)-अजन्त-7	reviewed
भात्	भात	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
झ्याल्	झ्याल	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
राम्	राम	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
रात्	रात	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
देश्	देश	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
हिमाल्	हिमाल	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
यस्	यस	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
